detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
BRISK,SIFT,13,9.22307,11.9239,0.614196
BRISK,SIFT,14,10.9678,10.8124,0.61256
BRISK,SIFT,15,8.09422,12.773,0.612037
BRISK,SIFT,16,8.81392,10.7688,0.63159
BRISK,SIFT,17,10.2926,11.6778,0.626901
BRISK,SIFT,18,8.30978,13.3789,0.619836
FAST,BRIEF,1,12.9722,11.1829,0.400873
FAST,BRIEF,2,12.264,11.5546,0.486893
FAST,BRIEF,3,13.9161,12.9688,0.47434
FAST,BRIEF,4,15.804,13.1232,0.446364
FAST,BRIEF,5,12.5951,20.0387,0.453823
FAST,BRIEF,6,7.14812,13.2848,0.442538
FAST,BRIEF,7,34.3404,11.4727,0.416394
FAST,BRIEF,8,18.7875,11.0924,0.424718
FAST,BRIEF,9,15.8894,11.0036,0.414429
FAST,BRIEF,10,13.7297,13.6544,0.400905
FAST,BRIEF,11,10.4914,13.2623,0.416925
FAST,BRIEF,12,10.1,11.5215,0.392473
FAST,BRIEF,13,9.22307,12.0888,0.400886
FAST,BRIEF,14,10.9678,11.7186,0.390256
FAST,BRIEF,15,8.09422,11.7359,0.384904
FAST,BRIEF,16,8.81392,12.2566,0.383193
FAST,BRIEF,17,10.2926,7.95281,0.389702
FAST,BRIEF,18,8.30978,11.5441,0.384731
FAST,BRISK,1,12.9722,12.2019,0.529405
FAST,BRISK,2,12.264,11.8345,0.53054
FAST,BRISK,3,13.9161,14.9085,0.533752
FAST,BRISK,4,15.804,13.9304,0.536397
FAST,BRISK,5,12.5951,44.8072,0.539686
FAST,BRISK,6,7.14812,12.56,0.53122
FAST,BRISK,7,34.3404,11.8507,0.541472
FAST,BRISK,8,18.7875,11.0924,0.53301
FAST,BRISK,9,15.8894,12.2478,0.529008
FAST,BRISK,10,13.7297,12.4699,0.535192
FAST,BRISK,11,10.4914,12.3599,0.552143
FAST,BRISK,12,10.1,11.4578,0.563366
FAST,BRISK,13,9.22307,11.9291,0.553136
FAST,BRISK,14,10.9678,11.0103,0.590016
FAST,BRISK,15,8.09422,12.0541,0.614981
FAST,BRISK,16,8.81392,12.2753,0.560647
FAST,BRISK,17,10.2926,8.83346,0.559425
FAST,BRISK,18,8.30978,11.0196,0.545395
FAST,FREAK,1,12.9722,10.7507,0.443728
FAST,FREAK,2,12.264,59.5391,0.457325
FAST,FREAK,3,13.9161,19.3456,0.459304
